id,zotero_link,year,title
3881,A8PQT99E,2008,The Dishonesty of Honest People: A Theory of Self-Concept Maintenance
3882,SZR243UJ,2011,"Are religious individuals more generous, trusting, and cooperative? An experimental test of the effect of religion on prosociality"
3883,CYF76UDG,2013,Used planet: A global history
3884,A88E23E4,1992,"River of Blood: The Genesis of a Martyr Cult in Southern Malawi, c. A.D. 1600"
3885,7ZA4Q7S3,2010,"Archaeological excavations at Mankhamba, Malawi:
An early settlement site of the Maravi"
3886,IT7NS8P7,2020,Archaeology and oral tradition in Malawi: origins and early history of the Chewa
3887,GDD9WKMP,2014,On the sensitivity of the simulated European Neolithic transition to climate extremes
3888,VYTVG27Y,2003,A global dynamic model for the Neolithic transition
3889,LDPBAB32,2011,A simulation of the Neolithic transition in Western Eurasia
3890,TMP94R9C,2016,Connecting Harbours. A comparison of traffic networks across ancient and medieval Europe
3891,6D3DZ4KY,2018,Modelling climate and societal resilience in the Eastern Mediterranean in the last millennium
3892,5Q3THMSI,2015,Liquid Frontiers: A Relational Analysis of Maritime Asia Minor as a Religious Contact Zone in the Thirteenth-Fifteenth Centuries
3893,6H4YQHYZ,2017,"A Collapse of the Eastern Mediterranean? New results and theories on the interplay between climate and societies in Byzantium and the Near East, ca. 1000-1200 AD"
3894,XGM2DBZS,2012,Complex historical dynamics of crisis: the case of Byzantium
3895,UI9LL8JT,2012,Complex historical dynamics of crisis: the case of Byzantium
3896,CEKZT2RN,2021,Streetonomics: Quantifying culture using street names
3897,DJ2833S3,2016,House Societies in the Ancient Mediterranean
3898,BRCJRRVB,0,The Latins
3899,GG9KHSJ8,2020,The technology of Copper Age funerary pottery from Central Italy: An integrated study of compositional analyses and manufacturing traces
3900,2N9HRC95,2016,Theoretical issues in the interpretation of cemeteries and case studies from Etruria to Campania.
3901,55KRCIMC,2020,The Bioarchaeology of Social Stratification in Bronze Age Italy
3902,MT335H22,2018,The Roman Conquest of Italy
3903,IFD9VGSH,2012,Luxury in Funerary Rituals in Ancient Italy: The Dress
3904,KR7C5NJ2,0,Social Dynamics and Resource Management Strategies in Copper Age Italy: Insights from Archaeological and Isotopic Data
3905,JQVJMPDU,2007,A Revised Chronology for the Late Seleucids at Antioch (121/0-64 BC)
3906,B5T597JK,1949,The End of the Seleucids
3907,UN9KQ6TV,2011,The men who would be king: kings and usurpers in the Seleukid Empire
3908,8X3MUICR,2005,"Appian, The Syrian Wars"
3909,AC2SNUKI,1911,Selucid Dynasty
3910,5LDKRU62,2011,The Reigns of the Seleucid Kings According to the Babylon King List
3911,FAGBCNG6,2011,A Trap At The Escape From The Trap?
3912,M2SQ9YGU,2016,The Database of Religious History and the Study of Ancient Mediterranean Religiosity
3913,WUJ3V778,2013,"Risk, Uncertainty, and Violence in Eastern Africa"
3914,BT5FND6V,2012,Modelling prehispanic Pueblo societies in their ecosystems
3915,8QHH4UIB,2021,Loss of resilience preceded transformations of pre-Hispanic Pueblo societies
3916,U8EEP4RV,2004,Universal patterns in cultural evolution: An empirical analysis using Guttman scaling
3917,6GMEX26L,2015,The Representation of Emperor as God in Byzantine Mosaics and Frescos
3918,D5CY8PHF,2017,Fuck nuance
3919,LN7YY9EH,2018,Retool AI to forecast and limit wars
3920,FJ9KSMQ7,2007,"Reconsidering ""Sati in Universal Context"""
3921,7HAEUPQZ,2009,Bellicose rulers and climatological peril? Retrofitting twenty-first-century woes on eighth-century Maya society
3922,J4R2CSCM,1991,The collapse of Classic Maya civilization
3923,8P7JYN4V,2017,The Seneca Effect: Why Growth is Slow but Collapse is Rapid
3924,GC7WSHGH,1999,Complexity and climate
3925,838MBRQM,1988,The Collapse of Complex Societies
3926,2CFA7SNF,2013,The Rise and Fall of Ancient Egypt
3927,4XHFXEXD,2002,Resilience and adaptive cycles
3928,VP8YXAEU,2018,How Democracies Die
3929,DPGVGZFP,2015,Emulating global climate change impacts on crop yields
3930,SW5J4HBU,2018,Main Issues in the Study of the Chinese Neolithic
3931,SRSFPJUQ,2021,The New Science of Religious Change
3932,EJ5PCWIZ,2017,Cultural change: The how and the why
3933,59Q36EN6,2021,Communal drinking rituals and social formations in the Yellow River valley of Neolithic China
3934,7STXZC7C,1993,The Sikh and Sikhism
3935,KY6TNHSZ,-1,"Peter Green - Alexander the great and the hellenistic age-The Orion Publishing Group, ltd. (2007).pdf"
3936,8ZNXX9CT,2006,Alexander the Great
3937,C9K9R5PC,2002,From Cyrus to Alexander: A History of the Persian Empire
3938,RMB2T85I,2002,When Different Becomes Similar: Compensatory Conformity in Bicultural Visible Minorities
3939,EIU3BQA7,1999,Stereotype Susceptibility: Identity Salience and Shifts in Quantitative Performance
3940,9FVM7JRL,2021,Social Complex Systems as Multiscale Phenomena: From the Genome to Animal Societies.
3941,93P35DD6,-1,Zanzibar and Pemba: The Archaeology of an Indian Ocean Archipelago
3942,RUDF9R44,2017,Unguja Ukuu
3943,GGM3RG7F,2004,Unguja Ukuu on Zanzibar: An archaeological study of early urbanism
3944,IR3JV8PD,2015,"Islamic Law, Gender and Social Change in Post-Abolition Zanzibar"
3945,EGD98Q6P,2017,The East African coast: researching its history and archaeology
3946,PB22FKSS,2017,Town and Village
3947,RIRTGR9C,2017,The Swahili language and its early history
3948,95EQ2K86,2017,The Progressive Integration of Eastern Africa into an Afro-Eurasian World-system
3949,E7KV5BEU,2017,Defining the Swahili
3950,VRKMQD48,2017,Zanzibar
3951,2HFFBQHC,1970,Magistracy and Society in Colonial Brazil
3952,833N537N,2010,Celeiro Comum de Grândola: da História Administrativa á produção de um instrumento de descrição documental
3953,I5DXF22V,2019,Cowrie Shells and Cowrie Money: A Global History
3954,DHRCPXPP,2014,"Standard Catalogue of World Paper Money: General Issues, 1368-1960"
3955,Q4D5S7NI,2014,Money Supply and the Credit Market in Early Modern Economies: The Case of Eighteenth-Century Lisbon
3956,WACR37J5,2018,Guerras de papel: Disputas e estratégias em torno da comunicação escrita na América portuguesa (c. 1650 – c. 1750)
3957,A8N5EQS3,2009,"Geometry, the Measure of the World"
3958,V4NQA9H4,2005,A cultura da medição em Portugal ao longo da história
3959,4KG35WE3,2008,"Urban Landscapes: Houses, Streets and Squares of 18th Century Lisbon"
3960,QIKN6MDF,2002,O Exercito na Capitania da Bahia entre 1750-1762
3961,JFPUKVMF,2013,Justice administration in early modern Portugal: Kingdom and empire in a bureaucratic continuum
3962,4DMPBRA7,2011,"The Population of the Portuguese Estado da India, 1750–1820"
3963,SB2P8RNF,2009,"A History of Portugal and the Portuguese Empire from Beginnings to 1807. Volume 2, The Portuguese Empire"
3964,NNKB4C26,2003,A Concise History of Portugal
3965,TKKDT5CZ,2009,"A History of Portugal and the Portuguese Empire from Beginnings to 1807. Volume 1, Portugal"
3966,73CNA5KV,2015,"Mysticism, Rationalism and Puritanism in Modern Omani Ibāḍism (18th–Early 20th Century)"
3967,C62TFXBJ,2017,Currency of the Swahili World
3968,X97VIPZ7,2017,Navigating the Early Modern World: Swahili Polities and the Continental-Oceanic Interface
3969,RIM8EFNG,1976,"The Ibāḍī ""Imāma"""
3970,EHPCHGDM,2015,A History of Modern Oman
3971,FZ8NVRKU,2020,The dynamics of injunctive social norms
3972,Q2RRT9PS,0,"Brahmin Left versus Merchant Right: Changing Political Cleavages in 21 Western Democracies, 1948-2020"
3973,HAPKN7LN,1998,Ethnic Groups and Boundaries: The Social Organization of Culture Difference
3974,827XQNK4,2013,Inequality and Institutions: A Review Essay on Why Nations Fail by Daron Acemoglu and James A. Robinson
3975,BRYSY7WG,-1,"Comments on time, space and method for the study of commodity frontiers and the transformation of the global countryside"
3976,H5RHUJZ7,2019,"Race in a godless world: atheism, race, and civilization, 1850–1914"
3977,BBTHWU8T,2002,Imperial Chinese Military History: 8000 BC - 1912 AD
3978,BAX6HMH7,2002,Under Heaven's Brow: Pre-Christian Religious Tradition in Chuuk
3979,YLRQXQV8,1959,The Gahadavala Dynasty
3980,I7N6Z9H4,1974,Indigenous States Of Northern India (circa 200 B.c. To 320 A.d.)
3981,GG64IMP4,2009,Ecological Catastrophe and Collapse: The Myth of 'Ecocide' on Rapa Nui (Easter Island)
3982,7BBEWNPK,1991,Review of The Collapse of Complex Societies
3983,68PUUY8M,2020,"The state in ancient Egypt: power, challenges and dynamics"
3984,F4DBJKI6,2013,"Building the Pharaonic state: Territory, elite, and power in ancient Egypt during the 3rd millennium BCE"
3985,YRK2VXUS,2004,"Empire: how Spain became a world power, 1492-1763"
3986,FP34HQZJ,2009,History of Ancient and Early Medieval India:  From the Stone Age to the 12th Century
3987,JW23PIM9,2012,Asoka and the decline of the Mauryas
3988,2MTRKJ9C,2013,The Past Before Us
3989,JSNWUVEX,1983,The Rise of Egyptian Civilization
3990,AQK228F8,1983,Ancient Egypt: a social history
3991,D7439CVX,0,THE RISE AND FALL OF ANCIENT EGYPT
3992,XCSMA2IS,2011,h
3993,YWU8NUZN,2008,The Inca Empire
3994,XRDZ93VL,2007,"The Rise of the Chinese Empire: Frontier, Immigration, and Empire in Han China, 130 BC-AD 157"
3995,4CEQ5PYY,2011,Middle Range Theory: A Review of The Origins of Political Order by Francis Fukuyama
3996,45RR3H3T,1968,Political order in changing societies
3997,BCQHZ626,1950,Empire and communications.
3998,BN7H6KKY,1992,"Civilization and Capitalism, 15th-18th Century, Vol. III: The Perspective of the World"
3999,5W5HJTTA,1995,A history of civilizations
4000,BQMBT9ET,1926,The Decline of the West
4001,3EXZFQD7,2020,Moralization of Religiosity Explains Worldwide Trends in Religious Belief
4002,I6RRD9AU,1933,History Of The Rashtrakutas
4003,8XEPQ5DW,2021,Long-term gene–culture coevolution and the human evolutionary transition
4004,MZAS4D8C,2013,Can a collapse of global civilization be avoided?
4005,CLMI42CX,2003,Sunk‐Cost Effects and Vulnerability to Collapse in Ancient Societies
4006,78QXSSFS,2002,Why Do Societies Collapse?: A Theory Based on Self-Organized Criticality
4007,ZCAAI5MN,2020,Integrating collapse theories to understand socio-ecological systems resilience
4008,58I94E4W,2012,"Collapse, environment, and society"
4009,R7M9FANZ,2018,How Democracy Ends
4010,DKMYS5UF,2018,Toward a General Theory of Societal Collapse. A Biophysical Examination of Tainter s Model of the Diminishing Returns of Complexity
4011,KA2ZHSZX,2003,The Decline and Fall of the Roman Empire
4012,2QVRB633,2011,The Limits to Growth Revisited
4013,JI8DUA5V,2012,"Why nations fail: the origins of power, prosperity and poverty"
4014,33DWFNW3,2014,Spain the Rise and Fall of a Dynastic Empire
4015,E7N5SIBZ,1994,Nomads and the Outside World
4016,H69XSW59,2014,"By the spear: Philip II, Alexander the Great, and the rise and fall of the Macedonian Empire"
4017,EEM2ITR9,2000,Crisis of the Ottoman Empire: prelude to collapse 1839-1878
4018,V5VNM3AU,0,A Framework for the Emotional Psychology of Group Membership
4019,3XKD476U,2020,"The GGCMI Phase 2 emulators: global gridded crop model responses to changes in CO<sub>2</sub>, temperature, water, and nitrogen (version 1.0)"
4020,F3M83USM,2019,"A simulated Northern Hemisphere terrestrial climate dataset for the past 60,000 years"
4021,6JJDDDIY,1957,The History Of The Gurjara Pratiharas
4022,W4WQKL22,1937,History Of Kanauj To The Moslem Conquest
4023,LBTPC3WB,2018,"Violence, Colonialism and Empire in the Modern World"
4024,6QCWI3J2,2017,"The Southern Lunda and Related Peoples (Northern Rhodesia, Belgian Congo, Angola): West Central Africa Part I"
4025,LPK9JDBQ,2013,The Protestant Ethic and the Spirit of Capitalism
4026,Q4XIND3G,1971,The system of modern societies
4027,L2EER8JZ,1975,Auguste Comte and positivism: The essential writings
4028,7QEGDLBW,2005,Modernity and its endless discontents
4029,DJI4FL8W,2010,Modernity and modernization
4030,CS6UYNEX,2012,Modernity: Understanding the Present
4031,FXVPGJ6G,2017,Modernity and the Idea of Progress
4032,9WNVA4GF,1993,"Modernity, history, democracy"
4033,KHBNE574,2019,History of the First Twelve Years of the Reign of Mai Idris Alooma of Bornu (1571 – 1583): Together with the “Diwan of the Sultans of Bornu” and “Girgam” of the Magumi.
4034,2PIUDEJ5,2004,Antecedents to Modern Rwanda: The Nyiginya Kingdom.
4035,F7ACDQVP,2017,"Warfare and Armed Conflicts: A Statistical Encyclopedia of Casualty and Other Figures, 1492-2015"
4036,WF59LF6J,2014,The Urbanisation of Rome and Latium Vetus: From the Bronze Age to the Archaic Era
4037,JV5RHV9P,2006,A critical history of early Rome: from prehistory to the first Punic War
4038,GZVWKF3Z,2013,The Villanovan Culture: At the Beginning of Etruscan History
4039,PJB6Q64X,2016,The fortifications of Archaic Rome: Social and political significance
4040,CCKG573P,2013,Latium vetus in the Bronze Age and Early Iron Age / Il Latium vetus nell’età del Bronzo e nella prima età del Ferro
4041,IGKG9GFE,2013,Peninsular Italy
4042,YA9WX2GJ,1995,A Mediterranean Valley: Landscape Archaeology and Annales History in the Biferno Valley
4043,XAV3HW52,2006,Embodied inequalities: burial and social differentiation in Copper Age central Italy
4044,R9TV7IKB,1992,Underground Religion: Cult and Culture in Prehistoric Italy
4045,HG725XI7,1974,The Copper Age of Peninsular Italy and the Aegean
4046,6L4PYPMB,1999,The Delhi Sultanate A Political And Military History ( Cambridge Studies In Islamic Civilization )
4047,PPLKS53D,2021,Pandemic precarity: COVID-19 is exposing and exacerbating inequalities in the American heartland
4048,DZGBTCHH,2009,Portugal in European and World History
4049,HTBKVGA4,2016,The Kingdom of Kongo and the Thirty Years' War
4050,DITP8CJX,1970,A COMPREHENSIVE  HISTORY OF INDIA VOL.5
4051,UVC33J2P,2009,A History of Portugal and the Portuguese Empire: From Beginnings to 1807
4052,VP97X6EZ,2021,The potential to infer the historical pattern of cultural macroevolution
4053,KQ73H8PR,2021,A phylogenetic analysis of revolution and afterlife beliefs
4054,YS9YX4PR,2021,The cultural evolution and ecology of institutions
4055,GRF2AH5P,2021,"The First World Empire : Portugal, War and Military Revolution"
4056,2XPCXDBQ,0,'Bornu' in Encyclopaedia of Islam 3
4057,W5A7SA5M,0,Encyclopedia of African History
4058,8KARZSH4,2012,"The Princes of the Mughal Empire, 1504–1719"
4059,XJNA35R8,1974,The Mughul Empire
4060,ZZBJ7XSQ,2007,History of Civilizations of Central Asia: Development in Contrast from the Sixteeth to the Mid-Nineteenth Century
4061,MIJNKEBQ,2007,The History of Afghanistan
4062,NJ8R7UGV,2017,The History of Afghanistan
4063,HD338DBX,1938,Fall Of The Mughal Empire Vol-iii (1938)
4064,XDPKLFMV,2005,Advanced Study in the History of Modern India 1707-1813
4065,2F2VFGZI,1960,TWO HISTORICAL LETTERS OF MAHARANA SANGRAM SINGH
4066,MC9E82YD,2021,On the use of evolutionary mismatch theories in debating human prosociality
4067,RF8A42S2,2012,"Africa and Africans in the Making of the Atlantic World, 1400–1800."
4068,24QPFDVP,1992,General History of Africa: Africa from the Sixteenth to the Eighteenth Century.
4069,9WB7KYS5,2020,Before the collapse
4070,MTKARWD4,2008,The Collapse of Complex Societies
4071,DWYYZI4U,1983,Which Road to the Past?: Two Views of History
4072,BPNTGS4I,2013,Environmental roots of the Late Bronze Age crisis
4073,2CP3NWDU,2006,"The rise and fall of the Roman economy: population, rents and entitlement"
4074,MMNBTWAX,1987,A History of the Maghrib in the Islamic Period
4075,277WCRFU,2003,Morocco: From Empire to Independence
4076,7T6SE49W,2013,Child and Infant Mortality
4077,3NLDF9BB,1997,Life expectancy in ancient Palestine
4078,LAHFPQ8K,2005,THE FIRST INTERMEDIATE PERIOD: A TIME OF FAMINE AND CLIMATE CHANGE?
4079,32YLF4QS,2009,Famine: A Short History
4080,TAF2JSN4,2012,Warfare in Independent Africa
4081,AC9V5HI8,2012,Warfare in African History
4082,5EPUZEKP,1988,Ideology and Political/Economic Institutions
4083,6KMA96ST,2014,Are gods really moral monitors? Some comments on Ara Norenzayan's Big Gods by a historian of religions
4084,I5NZX89L,2019,Unearthly Powers: Religious and Political Change in World History
4085,EADC5NZY,2020,How to Fight Inequality:
4086,WUJZSVAT,2021,Inequality is rising where social network segregation interacts with urban topology
4087,EV56DSWK,2009,The Business of Empire: The East India Company and Imperial Britain 1756-1833
4088,AB776ATJ,2002,Trading Places: the East India Company and Asia
4089,VVWRSXJS,2018,Introduction
4306,XA8A6KU4,2014,"War crimes, genocide, and justice: a global history"
4090,TEWKTGQ4,2008,Taishō: An enigmatic emperor and his influential wife
4091,6QRQJH65,2021,Ecological variation and institutionalized inequality in hunter-gatherer societies
4092,IJ7DKTEL,2020,An institutional approach for archaeology
4093,6DPEMNWK,1973,The strength of weak ties
4094,VVA65GH7,1993,"Coevolution of neocortical size, group size and language in humans"
4095,RPPSEAGR,1970,History and the social sciences: The long term
4096,UUIGX762,0,Measures of Social Evolution
4097,SH8XIZBQ,2006,"Constructing Bangladesh: Religion, Ethnicity, and Language in an Islamic Nation."
4098,C893CW7Z,2020,A dynamic over games drives selfish agents to win–win outcomes
4099,CJWT7MRX,2019,The Political History of Muslim Bengal: An Unfinished Battle of Faith
4100,F7AZ6VSN,2021,Towards a computational theory of social groups: A finite set of cognitive primitives for representing any and all social groups in the context of conflict
4101,83IG9AXH,2020,Rise and Growth of Calcutta between 1750 and 1850
4102,G88NTW2D,2020,Some Aspects of Urbanization and De-Urbanization in Bengal
4103,N7B8WKJ7,2020,"Military Power and Warfare in the Era of European Ascendancy in Bengal, 1700-1815"
4104,B6SV7ZQW,0,Banking and the Credit System in Bengal in the Eighteenth Century
4105,AP5CBMBQ,2020,"Muslim Literati and their Social, Political and Religious Thoughts in the Eighteenth Century"
4106,BKB6H72G,0,The zamindars of West Bengal
4107,9HVA3AE2,2020,"Political History and Historiography of Bangal Subah, 1700-1757."
4108,BHD6X29G,1971,The Administration of the Sultanate of Delhi
4109,I6VMP6PN,1998,Mosque Architecture in Bangladesh: The Archetype and It’s Changing Morphology.
4110,AS7KYLDU,2004,List of Rulers of Japan
4111,KC2RX8ZL,2021,Pathways to Prejudice and Outgroup hostility: Group alignment and intergroup conflict among football fans
4112,FX9FCG5W,1978,"Peasant struggle in Japan, 1590–1760"
4113,TKX3L6FR,1986,Oshio Heihachirō and his revolt of 1837
4114,LTGMX8HF,1988,State Growth and Popular Protest in Tokugawa Japan
4115,8N54SUNJ,2007,History of Medieval India (800-1700)
4116,CS3NNDPU,2009,History of Medieval India
4117,BSB9HGAR,1965,Dynastic History of Bengal (c.750-1200 A.D.)
4118,84Q49F5X,2020,Land and Society in Early South East Asia: Eastern India 400-1250 AD
4119,HQNUI6KX,1934,The History of North-Eastern India: Extending from the foundation of the Gupta empire to the rise of the Pala dynasty of Bengal
4120,73Q4FZUN,0,Early Criticism on Bengali Literature
4121,K5PPMPG6,2001,The Mainamati Inscriptions
4122,RSEABP39,2015,Agrarian Society in Early Medieval Bengal
4123,JJDGEDFZ,2009,A History of Bangladesh
4124,U9SMF8K7,2011,"Bangladesh: politics, economics, and civil society."
4125,NB6SP274,1996,Ancient India and Indian Civilization
4126,PVBBCQNH,1988,India in the Age of the Nandas
4127,7ZTPE42T,1943,The History of Bengal: The Hindu Period
4128,P43QZIYZ,2020,Rise of the War Machines: Charting the Evolution of Military Technologies from the Neolithic to the Industrial Revolution
4129,FHNI37SR,2019,The evolution of fragility: setting the terms
4130,QZLJWPP7,0,Fragility and Resilience in Bronze Age China
4131,4ECDYRRK,-1,cultural_extinction_in_evolutionary_perspective.pdf
4132,DXTAXFYD,2016,Frozen cultural plasticity
4133,8Z53RXWK,0,Manuscript in press for the Special Issue “Psychology of Extremist Political Identification” Guest Edited by Catarina Kinnvall.
4134,HJXFMRRK,1978,"Miura Meisuke, or peasant rebellion under the banner of “distress”"
4135,DUSBVLM2,1975,Structural Sources of Popular Revolts and the Tobaku Movement at the Time of the Meiji Restoration
4136,5E8FVQ3V,1989,Introduction
4137,A7TMXFJN,1989,The Meiji Restoration
4138,FHLSKLT2,1989,The foreign threat and the opening of the ports
4139,QW43M93J,2019,For What It’s Worth: Evidence and Models in the History of the Axial Age
4140,YIG5Q5V5,2012,The Developmental Dynamics of Terrorist Organizations
4141,8FBWHDSU,2014,Apparent Strength Conceals Instability in a Model for the Collapse of Historical States
4142,J59Y3VMV,2018,Fundamental patterns and predictions of event size distributions in modern wars and terrorist campaigns
4194,54PEVNSI,2016,Ages of Discord: A Structural-Demographic Analysis of American History
4143,5JAS8T3C,2021,"Religiosity, neutrality, fairness, skepticism, and societal tranquility: A data science analysis of the World Values Survey"
4144,XKL585SF,2016,Managing the commons: a simple model of the emergence of institutions through collective action
4145,75SBJUGA,2021,"Coevolution of actions, personal norms, and beliefs about others in social dilemmas"
4146,63N6TGVH,2008,Chinese Business: Landscapes and Strategies
4147,GYP5LVRK,1999,Cities of Aristocrats and Bureaucrats: The Development of Medieval Chinese Citiescapes
4148,VCZCECC6,1999,The Shang: China's First Historical Dynasty
4149,8B4HEULV,1979,A History of China
4150,UX9H7WRW,2001,Daily Life in Traditional China: The Tang Dynasty
4151,KX4GNIXQ,2015,Sung government and politics
4152,MB9CHFJB,1979,The Sui dynasty (581–617)
4153,I8J6MR8U,2001,Yangshao
4154,TS63Q34W,2021,Japan
4155,89YSPQDR,1990,The Shogun's City: A History of Tokyo
4156,J3UKQZ96,2001,Indigenous Social Complexity at Hacinebi (Turkey) and the Organization of Uruk Colonial Contact
4157,TFBZKFJP,2021,The Pleistocene Social Contract: Culture and Cooperation in Human Evolution
4158,NXH6ZN6J,2020,"Cities: Complexity, theory and history"
4159,ZBIZGHGA,2010,Towards a Socialised Archaeology of Ceramics in Great Lakes Africa
4160,WWB4PZIW,2019,"Religion, History and Society in the Great Lakes Region"
4161,WMEMW3T7,2016,The Bakitara (Banyoro) of Uganda and Collective Action Theory
4162,T7IMKZJJ,2014,The Challenge of Writing a History: Early Luganda Historical Writing and Buganda's Ekitiibwa and Position in Colonial Uganda
4163,DBEPG6WE,1972,Precolonial Markets in Bunyoro-Kitara
4164,ZAU2GUEA,2005,"Late-Holocene environmental variability at Munsa archaeological site, Uganda: a multicore, multiproxy approach"
4165,6ITEA4NM,2000,Climate Change and the Rise of Political Complexity in Western Uganda
4166,VAFA6XGX,2012,Bunyoro-Kitara Revisited: A Reevaluation of the Decline and Diminishment of an African Kingdom
4167,IP7IPA6J,2010,Beyond the Segmentary State: Creative and Instrumental Power in Western Uganda
4168,QWFF6T85,2016,Greek Culture in Afghanistan and India: Old Evidence and New Discoveries
4169,QIL45V5X,2001,Autochthonous Aryans? The Evidence from Old Indian and Iranian Texts
4170,Q7TRQZV8,2021,Mapping past human land use using archaeological data: A new classification for global land use synthesis and data harmonization
4171,5WVJ9VNY,2004,Predicting the future state of the world using archaeological data: an exercise in archaeomancy
4172,A37U5ZGS,1992,"Coercion, Capital, and European States, AD 990-1992"
4173,67EQYHCG,2018,Transition to agriculture and first state presence: a global analysis
4174,3WGZ9L7P,1958,The Muqaddimah: An introduction to history
4175,NRK4US2Y,2017,Modeling Social Pressures Toward Political Instability in the United Kingdom after 1960: A Demographic Structural Analysis
4176,XYKK996M,2017,Explaining British Political Stability After 1832
4177,PSGFB6J9,2016,Mapping the Spread of Mounted Warfare
4178,JTPANN3S,2020,"Retrodicting the Rise, Spread, and Fall of Large-scale States in the Old World"
4179,FF5DSMIQ,1993,Voices from the Ming-Qing cataclysm: China in tigers' jaws
4180,FARDJBLY,2000,"English seigniorial agriculture, 1250-1450"
4181,TPTJ3CKI,2005,Urban centres and the emergence of empires in Eastern Inner Asia
4182,3GKXISAT,1996,The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War
4183,SIEXVLAC,2007,The Landmark Herodotus: The Histories
4184,T8LJ5GNS,1965,The conditions of agricultural growth: the economics of agrarian change under population pressure
4185,NWNHWJNS,2003,Historical Dynamics: Why States Rise and Fall
4186,7MDE5MUH,2009,Secular Cycles
4187,UPSI2BXI,2010,Computing the steppes: Data analysis for agent-based modeling of polities in Inner Asia
4188,9TEJNRNI,2011,The Xiongnu and the comparative study of empire
4189,D2MQHV94,1989,The Perilous Frontier: Nomadic Empires and China 221 B.C. to AD 1757
4190,LPKB7R7M,1993,"Dictatorship, Democracy, and Development"
4191,B3VFQN94,1875,"A system of logic, ratiocinative and inductive: Being a connected view of the principles of evidence and the methods of scientific investigation"
4192,QJD24RQZ,1998,"Guns, Germs, and Steel: The Fates of Human Societies"
4193,MTVCSUZM,1934,A Study of History
4249,ZVWG9FPE,1966,Psyche of the Garos
4195,E5GG6ZK7,2013,"War, space, and the evolution of Old World complex societies"
4196,ZUSITG33,1962,Conflict and defense: A general theory
4197,32KVJRXF,2009,A theory for formation of large empires.
4198,EN4TSI6E,2002,Ancient China and its enemies: the rise of nomadic power in East Asian history
4199,56JS8BTW,2014,The shape of the Roman world: modelling imperial connectivity
4200,C9UNF7BY,1957,The Poverty of historicism
4201,PBVLLZIE,2013,Modeling Malthusian Dynamics in Pre-Industrial Societies
4202,X2HCVFZR,1984,Human migration in historical perspective
4203,XSYLZLPC,2004,Past futures: the impossible necessity of history
4204,2IB35T8Q,1798,Population: the first essay
4205,AKSSNRQQ,2010,ARVE Technical Report# 3: Methodology for worldwide population estimates: 1000 BC to 1850
4206,RIF3IUCE,2018,Unified china and divided Europe
4207,G8QTGG8U,2011,Holocene carbon emissions as a result of anthropogenic land cover change
4208,CC37WMCL,1984,Der Fall Roms: Die Auflösung des römischen Reiches im Urteil der NachWelt
4209,HU9M46AG,2011,Xiongnu archaeology
4210,4BCPV97X,1954,Historical Inevitability
4211,P8WKKEPQ,1969,The Muqaddimah: An introduction to history
4212,7EZLZVNW,2020,The Decline and Rise of Democracy: A Global History from Antiquity to Today
4213,LF7FRBV6,2017,Wealth inequality and democracy
4214,LLMFHRRP,2010,The conscription of wealth: mass warfare and the demand for progressive taxation
4215,6F84QUKM,1992,Death-Ritual and Social Structure in Classical Antiquity
4216,N8HA5UVT,2021,Big Gods did not drive the rise of big societies throughout world history
4217,4FT4Y244,2020,A methodology for analyzing and forecasting sociopolitical destabilization
4218,U43PKNTU,2013,Sumerian Religion
4219,9P8PB8TJ,2021,Towards a rigorous understanding of societal responses to climate change
4220,NBJ8DDJA,2014,Quantitative Measures of Wealth Inequality in Ancient Central Mexican Communities
4221,CDNRDVKR,2016,Lowland Susiana in the Fourth and Early Third Millennium BCE: The 'Inertia' of the Mesopotamian-centric Sociocultural Interpretation
4222,A32X495L,1989,The Uruk Expansion: Cross-cultural Exchange in Early Mesopotamian Civilization [with Comments and Reply]
4223,DGTSKLAG,2010,Deconstructing the Ubaid
4224,SICDBDR6,0,Evaluating the Potential of Computational Modelling for Informing Debates on Roman Economic Integration
4225,X7272DV8,2021,Years of good life is a well-being indicator designed to serve research on sustainability
4226,T78LV92A,1969,The Pawning of Orkney and Shetland: A Reconsideration of the Events of 1460-9
4227,BI8E2BAT,2006,The Dog Shogun: The Personality and Policies of Tokugawa Tsunayoshi
4228,88Q55PLU,1996,Distribution of Spirit Possession and Trance in Micronesia
4229,FS4SAIPJ,1991,Politics in the eighteenth century
4230,96WKSRGZ,1991,Introduction
4231,CQMMMGZJ,2006,"Secret Memoirs of the Shoguns: Isaac Titsingh and Japan, 1779-1822"
4232,SSJRQY4D,1991,"The Cambridge History of Japan, Volume 4: Early Modern Japan"
4233,R2CFTX3L,2018,The book of why: the new science of cause and effect
4234,VMGFA4HV,1991,The bakuhan system
4235,TN5L8R6S,1980,Testing for causality: a personal viewpoint
4236,D9G4ISGB,1969,Investigating causal relations by econometric models and cross-spectral methods
4237,S2VNUD42,2007,"Ancient DNA, pig domestication, and the spread of the Neolithic into Europe"
4238,FTG9FREW,2007,"Ancient DNA, pig domestication, and the spread of the Neolithic into Europe"
4239,S2HTCAL5,2011,The origins of animal domestication and husbandry: A major change in the history of humanity and the biosphere
4240,PJNHFXGZ,2011,The origins of animal domestication and husbandry: A major change in the history of humanity and the biosphere
4241,BDCEG6Z5,2006,Handbook to Life in Medieval and Early Modern Japan
